Focus8 Data Dictionary,,,,,,,
,,,,,,,
Master Tables:,,,,,,,
14,cCore_DashBoard,ALL-Customization Data,Stores list of dashboards,Click Select Dashboard,"cCore_DashBoardDashlets
cCore_DashBoardRights        mCore_DefaultDashboard",iDashBoardId,iDashBoardId
15,cCore_DashboardAccess,ALL-Customization Data,Contains list of users having rights to access dashboard,Click Select DashboardSettings->Security->select Users->Add or                                                         Click Select DashboardSettings->New->Select Users whom access permissions are granted,,iDashboardId,
16,cCore_DashboardCatagories,ALL-Customization Data,Stores dashboard catagories data,Click Select DashboardSettings->New->Mention dashboard category name,,iCatagoryId,
17,cCore_DashBoardDashlets,ALL-Customization Data,Stores dashboards dashlets data,Click Select Dashboard,cCore_DashBoard                                                     cCore_Dashlet ,iDashBoardId                                   iDashletId,iDashBoardId                                   iDashletId
18,cCore_DashboardDef,ALL-Customization Data,Contains dashboard defination details ,Click Select DashboardSettings->New->Mention dashboard category name,,iDashBoardId,
19,cCore_DashBoardRights,ALL-Customization Data,Stores dashboard rights data,Click Select DashboardSettings->Security->select Users->Add or                                                         Click Select DashboardSettings->New->Select Users whom access permissions are granted,cCore_DashBoard ,iDashBoardId,iDashBoardId
20,cCore_Dashlet,ALL-Customization Data,Dashlet  data,Click Select Dashboard,"cCore_DashBoardDashlets
cCore_DashletDetail
cCore_DashletExpression",iDashletId,iDashletId
21,cCore_DashletDetail,ALL-Customization Data,Dashlet  data,Click Select Dashboard,cCore_Dashlet                                               cCore_DashletFilter,iDashletDetailId,iDashletDetailId
22,cCore_DashletDetails,ALL-Customization Data,Stores dashlet details data,Click DashletSettings->select Dashlet,,iDashletId,
23,cCore_DashletExpression,ALL-Customization Data,Dashlet  data,Click Select Dashboard,cCore_Dashlet ,iDashletId,iDashletId
24,cCore_DashletFilter,ALL-Customization Data,Dashlet data,Click Select Dashboard,cCore_DashletDetail ,iDashletDetailId,iDashletDetailId
