Focus8 Data Dictionary,,,,,,,
,,,,,,,
Master Tables:,,,,,,,
25,cCore_DashletNotePages,ALL-Customization Data,Dashlet Data,Click Select Dashboard->OtherDashlets->Note,,iPageId,
26,cCore_DocumentSetBody_0,ALL-Customization Data,Stores configured printer details  to print a Document,Select Voucher->Print,"cCore_InvoiceLayout_0 
cCore_DocumentSetHeader_0 cCore_DocumentSetFilter_0",iBodyId,"iHeaderId
iLayoutId
iBodyId"
27,cCore_DocumentSetFilter_0,ALL-Customization Data,Stores configured printer details  to print a Document,Select Voucher->Print,cCore_DocumentSetBody_0 ,iFilterId,iBodyId
28,cCore_DocumentSetHeader_0,ALL-Customization Data,Stores configured printer details  to print a Document,Select Voucher->Print,"cCore_Vouchers_0 
cCore_DocumentSetBody_0",iHeaderId,"iVoucherType
iHeaderId"
29,cCore_EDIFileNameFormat_0,ALL-Customization Data,Stores EDI file name template format data,\Home\Utilities\ElectronicDataInterchange,"cCore_EDIHeader_0 
",iFileNameFormatId,iTemplateId
30,cCore_EDIFilterTree_0,ALL-Customization Data,Stores EDI filter condition information,\Home\Utilities\ElectronicDataInterchange,"cCore_EDITranFilter_0 
",iFilterTreeId,iTranFilterId
31,cCore_EDIGridInfo_0,ALL-Customization Data,"Stores header and body grid details such as length,data type etc related to electronic data interchange",\Home\Utilities\ElectronicDataInterchange,"cCore_EDISetBody_0 
cCore_EDITransformInfo_0",iGridInfoId,iReportSetId                                  iGridInfoId
32,cCore_EDIHeader_0,ALL-Customization Data,Contains header information of EDI,\Home\Utilities\ElectronicDataInterchange,cCore_EDISetHeader_0            cCore_EDITransactionSet_0,iTemplateId,iTemplateId
33,cCore_EDISetBody_0,ALL-Customization Data,Contains body data details of EDI,\Home\Utilities\ElectronicDataInterchange,cCore_EDIGridInfo_0,iReportSetId,iReportSetId
34,cCore_EDITranFilter_0,ALL-Customization Data,Filter condition for a transaction on which data is being done is detailed in this table,\Home\Utilities\ElectronicDataInterchange,cCore_EDITransactionSet_0         cCore_EDIFilterTree_0,iTranFilterId ,iTranFilterId                        iTransactionSetId
35,cCore_EDITransactionSet_0,ALL-Customization Data,"Stores details such as type of voucher, transaction set etc on which EDI is performed",\Home\Utilities\ElectronicDataInterchange,"cCore_EDIHeader_0 
cCore_EDITranFilter_0",iTransactionSetId ,iTemplateId                               iTransactionSetId 
36,cCore_EDITransformData_0,ALL-Customization Data,Stores EDI transform data,\Home\Utilities\ElectronicDataInterchange,"cCore_EDITransformInfo_0 
",iTransformDataId,iTransformInfoId
37,cCore_EDITransformInfo_0,ALL-Customization Data,Stores EDI transform information,\Home\Utilities\ElectronicDataInterchange,cCore_EDIGridInfo_0             cCore_EDITransformData_0,iTransformInfoId,iGridInfoId
38,cCore_ExternalModule,ALL-Customization Data,This table gets populated when any transaction calls an external module. The iLinkTypeId field stores the voucher on which external module is called. ,\Home\Settings\ConfigureTransactions\DocumentCustomization->Voucher->ExternalModule,,iModuleId,
39,cCore_ExternalScripts,ALL-Customization Data,Stores external scripts information ,\Home\Settings\ConfigureTransactions\DocumentCustomization,,iScriptId,
40,cCore_Fields,ALL-Customization Data,Stores list of fields in application,Select any master or document and add field,"Table is reference by almost all audit log tables  as well as:                                              cCore_ConstraintsFields
cCore_FieldsLanguage_0
cCore_MasterFields
cCore_MasterFieldsFilter
cCore_MasterFieldsIncrement
cCore_MasterViewFields
cCore_ViewConditions
cCore_VoucherFields_0
cCore_VoucherScreenFields_0",iFieldId,iFieldId
41,cCore_FieldsLanguage_0,ALL-Customization Data,Stores data of alias names of fields and language Id when multiple languages are selected. Choosing an alternate language is mandatory predefined setting to be able to provide alias name for any field.,Select any master or document and add field->Provide Alias,"cCore_Fields 
cCore_LanguageSupported ",iFieldId,iFieldId                               iLanguageId
42,cCore_FilterCustomization,ALL-Customization Data,Internal Table for field customization,Not Applicable,cCore_FilterCustomization_iFilterId,iId,iFilterId
43,cCore_FilterCustomizationBody,ALL-Customization Data,Internal Table for field customization,Not Applicable,cCore_FilterCustomization_iFilterId,iId,iFilterId
44,cCore_GridCustomizationDetails,ALL-Customization Data,Internal Table for field customization,Not Applicable,cCore_GridCustomizationHeader ,iCustomizationId,iCustomizationId
45,cCore_GridCustomizationHeader,ALL-Customization Data,Internal Table for field customization,Not Applicable,cCore_GridCustomizationDetails,iCustomizationId,iCustomizationId
46,cCore_InfoPanelVariables,ALL-Customization Data,Table contains Info Panel Variables details,Select any voucher->Settings->InfoPanel,cCore_MasterInfoPanels ,iPanelId,iPanelId
47,cCore_InvoiceAreaControl_0,ALL-Customization Data,Print layout related details,Select any voucher->Print->Create,cCore_InvoicePage_0 ,iAreaControlId,iPageId
48,cCore_InvoiceAttachments_0,ALL-Customization Data,Print layout related details,Select any voucher->Print->Create,,iAttachmentId,
49,cCore_InvoiceBody_0,ALL-Customization Data,Print layout related body details,Select any voucher->Print->Create,cCore_InvoicePage_0 ,iId,iPageId
50,cCore_InvoiceBodyFont_0,ALL-Customization Data,Print layout related font details,Select any voucher->Print->Create,,iId,
51,cCore_InvoiceBodyGroup_0,ALL-Customization Data,Print layout related group details,Select any voucher->Print->Create,,iGroupId,
52,cCore_InvoiceBodyValue_0,ALL-Customization Data,Print layout related details,Select any voucher->Print->Create,,iId,
53,cCore_InvoiceHeader_0,ALL-Customization Data,Print layout related header details,Select any voucher->Print->Create,cCore_InvoicePage_0 ,iId,iPageId
54,cCore_InvoiceLayout_0,ALL-Customization Data,Print layout related details,Select any voucher->Print->Create,cCore_DocumentSetBody_0          cCore_InvoicePage_0,iLayoutId,iLayoutId                                      iHeaderId
55,cCore_InvoiceNumericProperty_0,ALL-Customization Data,Print layout related details,Select any voucher->Print->Create,,iPropertyId,
56,cCore_InvoicePage_0,ALL-Customization Data,Print layout related details,Select any voucher->Print->Create,"cCore_InvoiceLayout_0 
cCore_InvoiceAreaControl_0
cCore_InvoiceBody_0
cCore_InvoiceHeader_0",iPageId            ,iPageId                                               iLayoutId                                      iHeaderId
57,cCore_LanguageSupported,ALL-Customization Data,Stores details of languages supported by company,Assign while creating company or                                                                                        \Home\Company\EditCompany->select languages                                                                                                      Make sure log out operation is performed if we add language using EditCompany option,This table is referenced by all the master based language tables ,iLanguageId,iLanguageId                                       iLanguage
58,cCore_MasterCustomTemplate,ALL-Customization Data,Stores customized template for masters,\Home\Settings\ConfigureMaster,,iTemplateId,
59,cCore_MasterDef,ALL-Customization Data,Master defination details ,\Home\Settings\ConfigureMaster,"cCore_MasterReportsLink_0
cCore_MasterTabs
cCore_MasterView
cCore_TreeCustomization
cCore_TreeView
cCore_UniqueConstraints
cCore_VoucherMasters_0
cCore_VoucherPanelFilterTransOn_0
cCore_VoucherReports_0
mCore_MasterMapping
mSec_RolesMasters
mSec_RolesMasterTrees
tCore_MasterAuditLog
tCore_MasterAuth
tCore_Refrn_0
tWms_TaskManager",iMasterTypeId,iMasterTypeId                                
60,cCore_MasterFields,ALL-Customization Data,Table stores list of all the master fields ,\Home\Settings\ConfigureMaster,Table is referenced by multiple tree based master tables,iFieldId,iFieldId
61,cCore_MasterFieldsFilter,ALL-Customization Data,Stores master field's filter data,\Home\Settings\ConfigureMaster,cCore_Fields ,iFieldId,iFieldId
62,cCore_MasterFieldsIncrement,ALL-Customization Data,Stores master fields with incremental valueset,\Home\Settings\ConfigureMaster,cCore_Fields ,iFieldId,iFieldId
63,cCore_MasterInfoPanelFields,ALL-Customization Data,Stores master data info panel fields,\Home\Settings\ConfigureMaster->Select master->Customize->InfoPanelCustomization,,sFieldName,
64,cCore_MasterInfoPanels,ALL-Customization Data,Contains the info panel details of master,\Home\Settings\ConfigureMaster->Select master->Customize->InfoPanelCustomization,cCore_Variables,iPanelId,iPanelId
65,cCore_MasterInfoPanelSeq,ALL-Customization Data,Stores info panel sqeuence data,\Home\Settings\ConfigureMaster->Select master->Customize->InfoPanelCustomization,,iPanelId                                       iuserId,
66,cCore_MasterLanguage,ALL-Customization Data,Master language links data,\Home\Settings\ConfigureMaster->Alias,cCore_LanguageSupported ,iLinkTypeId                                 iLinkId                                      iLanguageId,iLanguageId
67,cCore_MasterReportsLink_0,ALL-Customization Data,Table contains reports data that are to be displayed in the master home,\Home\Settings\ConfigureMaster->Select master->Customize->Reports,cCore_MasterDef ,iMasterTypeId,iMasterTypeId
68,cCore_MasterTables,ALL-Customization Data,Stores the master based tables in backend database,Auto updated om master creation,cCore_MasterTabs ,iTableId,iTabId
69,cCore_MasterTabs,ALL-Customization Data,Master Tabs,\Home\Settings\ConfigureMaster->Select master->CreateNewTab,cCore_MasterDef                                cCore_MasterTables,iTabId    ,iMasterId                                      iTabId
70,cCore_MasterView,ALL-Customization Data,Master Views,\Home\Masters->Select Master->Tools->CustomizeView,cCore_MasterDef                        cCore_MasterViewFields,iViewId ,iMasterId
71,cCore_MasterViewFields,ALL-Customization Data,Stores master view fields,\Home\Masters->Select Master->Tools->CustomizeView,cCore_Fields                                                  cCore_MasterView ,iFieldViewId,iFieldId                                                iViewId
72,cCore_MenuLanguages,ALL-Customization Data,Menu language details ,Not Applicable,mCore_Menu ,iMenuId,iMenuId
73,cCore_OneToManyMoveCustomization,ALL-Customization Data,Customization internal data,Not Applicable,,iScreenTypeId,
74,cCore_OptCtrlColumnsFields_0,ALL-Customization Data,Defines optical control data for fields ,Select any voucher->Select any input master field->Click On the Settings icon ,cCore_OptCtrlFieldSettings_0 ,Id,Id
75,cCore_OptCtrlFieldSettings_0,ALL-Customization Data,Defines optical control settings data for fields ,Select any voucher->Select any input master field->Click On the Settings icon ,cCore_OptCtrlColumnsField,Id,Id
76,cCore_OtherMasterDef,ALL-Customization Data,Other Master Definations,Home->Company,,iMasterTypeId,
77,cCore_OtherMasterFields,ALL-Customization Data,Other master defination based fields,Home->Company->Edit->Customize,cCore_OtherMasterTables ,iFieldId,iTableId
78,cCore_OtherMasterTables,ALL-Customization Data,Tables having other master definations,Auto created when customization at company level information is done,cCore_OtherMasterTabs               cCore_OtherMasterFields,iTableId,iTabId                                          iTableId
79,cCore_OtherMasterTabs,ALL-Customization Data,Stores information of the tabs created for other master definations such as company details tabs in edit company  screen,\Home\Company\EditCompany\Customize->Create Tab,cCore_OtherMasterTables,iTabId    ,iTabId    
80,cCore_PDCGridCustomization,ALL-Customization Data,Post dated cheque sceen customization information,\Financials\Transactions\CashAndBank,,iScreenTypeId,
81,cCore_PDCMappingDetails_0,ALL-Customization Data,Voucher mapping with post dated cheque based vouchers,\Financials\Transactions\CashAndBank,,iPDCVoucherType,
82,cCore_PreferenceText_0,ALL-Customization Data,Table stores preference text,\Home\Settings\ConfigureTransactions\Tags,,"iCategory
iFieldId",
83,cCore_PreferenceVal_0,ALL-Customization Data,Table stores preference values,\Home\Settings\ConfigureTransactions\Tags,,"iCategory
iFieldId",
84,cCore_PrinterConfig,ALL-Customization Data,Stores printer settings data in  POS,\PointofSales\Utilities\PrinterConfig,mCore_Product,iPrinterConfigId,iProductId
85,cCore_PrinterConfigHeader,ALL-Customization Data,Stores printer settings header data in  POS,\PointofSales\Utilities\PrinterConfig,,bConsAllItems,
86,cCore_PrintReportParam_0,ALL-Customization Data,Stores printer settings data,\Home\Settings\ConfigureTransactions\Print,cCore_PrintTemplate_0 ,iId,iTemplateId
87,cCore_PrintTemplate_0,ALL-Customization Data,Stores printer settings data,\Home\Settings\ConfigureTransactions\Print,cCore_PrintReportParam_0,iTemplateId,iTemplateId
88,cCore_ProvisionalEntryBody_0,ALL-Customization Data,Stores provisional entries information such as opening or closing balances body data for accounts or stocks in reports ,"\Financials\Transactions\Journals\OpeningBalances
Select Trail Balance Report->Fill provisional entries form",cCore_ProvisionalEntryHeader_0 ,iId,iReportId
89,cCore_ProvisionalEntryHeader_0,ALL-Customization Data,Stores opening or closing balances header data for accounts or stocks in reports,"\Financials\Transactions\Journals\OpeningBalances
Select Trail Balance Report->Fill provisional entries form",cCore_ProvisionalEntryBody_0,iReportId,iReportId
